OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
INV-BV-169	1.09	2025 02 04 14:24:19	F:\2024-05_Wudjari_stereo-BRUVs\20240516\BRUV_1\	INV-BV-169.EMObs
INV-BV-064	1.09	2025 02 04 14:24:19	D:\20240516\BRUV_2\	INV-BV-064.EMObs
INV-BV-073	1.09	2025 02 04 14:24:19	D:\2024-05_Wudjari_stereo-BRUVs\20240516\BRUV_3\	INV-BV-073.EMObs
INV-BV-237	1.09	2025 02 04 14:24:19	F:\2024-05_Wudjari_stereo-BRUVs\20240516\BRUV_4\	INV-BV-237.EMObs
INV-BV-189	1.09	2025 02 04 14:24:19	D:\20240516\BRUV_5\	INV-BV-189.EMObs
INV-BV-221	1.09	2025 02 04 14:24:19	F:\2024-05_Wudjari_stereo-BRUVs\20240517\BRUV_1\	INV-BV-221.EMObs
INV-BV-205	1.09	2025 02 04 14:24:19	D:\2024-05_Wudjari_stereo-BRUVs\20240517\BRUV_2\	INV-BV-205.EMObs
INV-BV-032	1.09	2025 02 04 14:24:19	E:\20240517\BRUV_3\	INV-BV-032.EMObs
INV-BV-048	1.09	2025 02 04 14:24:19	E:\20240517\BRUV_4\	INV-BV-048.EMObs
INV-BV-217	1.09	2025 02 04 14:24:19	E:\20240517\BRUV_5\	INV-BV-217.EMObs
INV-BV-225	1.09	2025 02 04 14:24:19	D:\20240517\BRUV_6\	INV-BV-225.EMObs
INV-BV-233	1.09	2025 02 04 14:24:19	D:\20240517\BRUV_7\	INV-BV-233.EMObs
INV-BV-173	1.09	2025 02 04 14:24:19	E:\20240517\BRUV_8\	INV-BV-173.EMObs
INV-BV-249	1.09	2025 02 04 14:24:19	D:\20240517\BRUV_9\	INV-BV-249.EMObs
INV-BV-044	1.09	2025 02 04 14:24:19	D:\20240517\BRUV_10\	INV-BV-044.EMObs
INV-BV-160	1.09	2025 02 04 14:24:19	E:\20240517\BRUV_1\	INV-BV-160.EMObs
INV-BV-096	1.09	2025 02 04 14:24:19	E:\20240517\BRUV_2\	INV-BV-096.EMObs
INV-BV-156	1.09	2025 02 04 14:24:19	D:\2024-05_Wudjari_stereo-BRUVs\20240517\BRUV_3\	INV-BV-156.EMObs
INV-BV-028	1.09	2025 02 04 14:24:19	D:\2024-05_Wudjari_stereo-BRUVs\20240517\BRUV_4\	INV-BV-028.EMObs
