Dot Point Measurements

Generated: Monday 26 May 2025 14:23:34

Filename	Frame	Time (mins)	Image row	Image col											campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers			Radius %
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		139	196											2022-11_Salisbury_stereo-BRUVs	Yes	SAL-BV-001	1													100.0
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		406	196											2022-11_Salisbury_stereo-BRUVs	Yes	SAL-BV-001	1													89.9
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		674	196											2022-11_Salisbury_stereo-BRUVs	Yes	SAL-BV-001	1					Relief	High	High (>3m)	3					89.9
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		941	196											2022-11_Salisbury_stereo-BRUVs	Yes	SAL-BV-001	1					Relief	High	High (>3m)	3					100.0
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		139	578											2022-11_Salisbury_stereo-BRUVs	Yes	SAL-BV-001	1													64.2
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		406	578											2022-11_Salisbury_stereo-BRUVs	Yes	SAL-BV-001	1													46.9
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		674	578											2022-11_Salisbury_stereo-BRUVs	Yes	SAL-BV-001	1					Relief	High	High (>3m)	3					46.9
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		941	578											2022-11_Salisbury_stereo-BRUVs	Yes	SAL-BV-001	1					Relief	High	High (>3m)	3					64.2
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		139	960											2022-11_Salisbury_stereo-BRUVs	Yes	SAL-BV-001	1													46.5
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		406	960											2022-11_Salisbury_stereo-BRUVs	Yes	SAL-BV-001	1													15.5
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		674	960											2022-11_Salisbury_stereo-BRUVs	Yes	SAL-BV-001	1					Relief	High	High (>3m)	3					15.5
