opcode,latitude_dd,longitude_dd,date_time_raw,date_raw,time_raw,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,observer_sessileinverts,successful_sessileinverts,presence_sessileinverts,forwards_habitat_image_saved,backwards_habitat_image_saved,successful_habitat_forward,successful_relief_forward,successful_habitat_backward,successful_relief_backward,observer_habitat_forward,observer_habitat_backward,system_number,left_camera,right_camera,rear_camera,raw_hdd_number,maxn_complete_date,maxn_checker,length_complete_date,comment
SAL-BV-059,-34.3532273,123.5359638,2022-11-21 01:01:52,2022-11-21,01:01:52,2022-11-21T01:01:52Z,Salisbury Island,Eastern Recherche,Fished,35.5,Yes,No,Alex McLennan,Alex McLennan,,,,No,Yes,No,No,Yes,Yes,,Molly Gerrans,7,39,40,25,RAW2,31/10/2023,Claude Spencer,,CAM RECORDED 002 BUT PLAN CHANGED TO 059. Skipper said this was site 059 but my map says 039. Cam 39 not on when pulled up (battery pack wasn't on). Only about 30 mins footage. MaxN out of Right
SAL-BV-063,-34.39273574,123.5255309,2022-11-21 06:02:53,2022-11-21,06:02:53,2022-11-21T06:02:53Z,Salisbury Island,Eastern Recherche,Fished,83.5,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,5,35,36,23,RAW2,25/10/2023,Claude Spencer,13/11/2023,Housing 43 but camera 36 - use post CAL
SAL-BV-068,-34.41095643,123.5949456,2022-11-22 03:12:00,2022-11-22,03:12:00,2022-11-22T03:12:00Z,Salisbury Island,Eastern Recherche,Fished,88.8,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,6,37,38,24,RAW2,30/10/2023,Claude Spencer,14/11/2023,
SAL-BV-080,-34.46316253,123.6481971,2022-11-22 00:08:45,2022-11-22,00:08:45,2022-11-22T00:08:45Z,Salisbury Island,Eastern Recherche,Fished,85.9,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,1,27,28,19,RAW2,10/10/2023,Claude Spencer,3/11/2023,
SAL-BV-083,-34.43899483,123.6116742,2022-11-22 01:15:03,2022-11-22,01:15:03,2022-11-22T01:15:03Z,Salisbury Island,Eastern Recherche,Fished,81,Yes,Yes,Daniel Agnello,Alex McLennan,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,8,41,42,26,RAW2,2/11/2023,Alex McLennan,7/11/2023,
SAL-BV-091,-34.36013659,123.5225436,2022-11-21 00:47:31,2022-11-21,00:47:31,2022-11-21T00:47:31Z,Salisbury Island,Eastern Recherche,Fished,51.7,Yes,Yes,Alex McLennan,Daniel Agnello,,,,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,1,27,28,19,RAW2,3/11/2023,Daniel Agnello,3/11/2023,"CAM RECORDED 056 BUT CHANGED PLAN TO 091. Bruv moves about 2.5 minutes after drop, period starts from second location"
SAL-BV-C01,-34.31912852,123.518249,2022-11-21 02:43:28,2022-11-21,02:43:28,2022-11-21T02:43:28Z,Salisbury Island,Eastern Recherche,Fished,79.5,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,4,33,34,22,RAW2,24/10/2023,Claude Spencer,10/11/2023,Fish on sounder. Didn't drop at the opcode recorded on cam.
SAL-BV-C02,-34.31604117,123.5394085,2022-11-21 02:56:33,2022-11-21,02:56:33,2022-11-21T02:56:33Z,Salisbury Island,Eastern Recherche,Fished,72.5,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,5,35,36,23,RAW2,25/10/2023,Claude Spencer,10/11/2023,Didn't drop at the opcode recorded on cam. Housing 43 but camera 36 - use post CAL
SAL-BV-C03,-34.30883246,123.5191172,2022-11-21 03:07:04,2022-11-21,03:07:04,2022-11-21T03:07:04Z,Salisbury Island,Eastern Recherche,Fished,77.6,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,6,37,38,24,RAW2,26/10/2023,Claude Spencer,13/11/2023,Didn't drop at the opcode recorded on cam
SAL-BV-C04,-34.39788544,123.5243921,2022-11-21 06:10:11,2022-11-21,06:10:11,2022-11-21T06:10:11Z,Salisbury Island,Eastern Recherche,Fished,81.4,Yes,Yes,Alex McLennan,Daniel Agnello,Antonia Mallmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,4,33,34,22,RAW2,24/10/2023,Claude Spencer,10/11/2023,Didn't drop at the opcode recorded on cam
